RAM 1269/7846MB (lfb 1394x4MB) CPU [54%@2033,51%@2034,95%@2036,45%@2034,48%@2033,48%@2033] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36C PLL@39.5C Tboard@32C Tdiode@35.25C PMIC@100C thermal@38.1C VDD_IN 8554/8554 VDD_CPU 4050/4048 VDD_GPU 300/280 VDD_SOC 1201/1201 VDD_WIFI 57/54 VDD_DDR 1610/1633
RAM 1269/7846MB (lfb 1394x4MB) CPU [51%@2035,52%@2035,96%@2035,47%@2033,47%@2034,49%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36C PLL@39.5C Tboard@32C Tdiode@35.25C PMIC@100C thermal@38.3C VDD_IN 8554/8554 VDD_CPU 4123/4051 VDD_GPU 300/281 VDD_SOC 1201/1201 VDD_WIFI 38/54 VDD_DDR 1610/1632
RAM 1269/7846MB (lfb 1394x4MB) CPU [54%@2034,53%@2034,96%@2035,49%@2035,49%@2036,53%@2033] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36.5C PLL@39.5C Tboard@32C Tdiode@35.5C PMIC@100C thermal@38.3C VDD_IN 8517/8552 VDD_CPU 4048/4051 VDD_GPU 225/279 VDD_SOC 1201/1201 VDD_WIFI 38/53 VDD_DDR 1648/1633
RAM 1269/7846MB (lfb 1394x4MB) CPU [53%@2035,44%@2035,97%@2034,54%@2034,50%@2034,50%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 4% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@32C Tdiode@35.5C PMIC@100C thermal@38.1C VDD_IN 8592/8554 VDD_CPU 4048/4051 VDD_GPU 225/276 VDD_SOC 1201/1201 VDD_WIFI 38/52 VDD_DDR 1648/1634
RAM 1269/7846MB (lfb 1394x4MB) CPU [53%@2026,51%@2034,97%@2034,50%@2033,50%@2033,51%@2033] EMC_FREQ 6%@1866 GR3D_FREQ 1%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36.5C PLL@39.5C Tboard@32C Tdiode@35.5C PMIC@100C thermal@38.3C VDD_IN 8629/8556 VDD_CPU 4048/4051 VDD_GPU 300/277 VDD_SOC 1201/1201 VDD_WIFI 76/53 VDD_DDR 1648/1634
RAM 1269/7846MB (lfb 1394x4MB) CPU [56%@2035,49%@2035,95%@2034,50%@2033,49%@2034,48%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 0%@1300 APE 150 MTS fg 0% bg 1% BCPU@39.5C MCPU@39.5C GPU@36.5C PLL@39.5C Tboard@32C Tdiode@35.5C PMIC@100C thermal@38.3C VDD_IN 8629/8559 VDD_CPU 4048/4051 VDD_GPU 300/278 VDD_SOC 1201/1201 VDD_WIFI 38/53 VDD_DDR 1648/1635
RAM 1269/7846MB (lfb 1394x4MB) CPU [58%@2033,44%@2034,86%@2035,50%@2032,49%@2033,51%@2036] EMC_FREQ 6%@1866 GR3D_FREQ 5%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36.5C PLL@39.5C Tboard@32C Tdiode@35.5C PMIC@100C thermal@38.3C VDD_IN 8479/8556 VDD_CPU 3900/4045 VDD_GPU 300/279 VDD_SOC 1201/1201 VDD_WIFI 57/53 VDD_DDR 1648/1635
RAM 1269/7846MB (lfb 1394x4MB) CPU [51%@2035,55%@2035,88%@2034,50%@2033,47%@2034,48%@2036] EMC_FREQ 6%@1866 GR3D_FREQ 4%@1300 APE 150 MTS fg 0% bg 1% BCPU@39.5C MCPU@39.5C GPU@36.5C PLL@39.5C Tboard@32C Tdiode@35.5C PMIC@100C thermal@38.6C VDD_IN 8517/8555 VDD_CPU 3973/4043 VDD_GPU 300/280 VDD_SOC 1201/1201 VDD_WIFI 57/53 VDD_DDR 1629/1635
RAM 1269/7846MB (lfb 1394x4MB) CPU [53%@2032,40%@2034,95%@2034,51%@2033,47%@2033,52%@2034] EMC_FREQ 6%@1866 GR3D_FREQ 9%@1300 APE 150 MTS fg 0% bg 0% BCPU@40C MCPU@40C GPU@36.5C PLL@40C Tboard@32C Tdiode@35.5C PMIC@100C thermal@38.3C VDD_IN 8442/8551 VDD_CPU 3900/4038 VDD_GPU 300/280 VDD_SOC 1201/1201 VDD_WIFI 38/52 VDD_DDR 1629/1635
RAM 1269/7846MB (lfb 1394x4MB) CPU [54%@2035,46%@2034,95%@2034,49%@2032,47%@2034,48%@2035] EMC_FREQ 6%@1866 GR3D_FREQ 10%@1300 APE 150 MTS fg 0% bg 0% BCPU@39.5C MCPU@39.5C GPU@36C PLL@39.5C Tboard@32C Tdiode@35.5C PMIC@100C thermal@38.3C VDD_IN 8366/8545 VDD_CPU 3825/4032 VDD_GPU 300/281 VDD_SOC 1201/1201 VDD_WIFI 38/52 VDD_DDR 1648/1635
